Comment,Designator,Footprint,LCSC,Quantity
1k,"R10,R11,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,3
2.2 uF,"C4,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530,2
AO3401A,Q1,SOT-23,C15127,1
10nF,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15195,1
10nF,"C11,C12,C14,C15,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,5
6.8k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17772,1
1,"R4,R5,R6,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17928,4
KT-0603R,LED1,LED0603-RD,C2286,1
75k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23242,1
D_Schottky,D1,D_SMA,C2480,1
10k,"R2,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,2
47k,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792,1
2k,R12,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,1
TPS22929D,"U4,U5",SOT-23-6,C415177,2
5.6k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382,1
DRV8833PWP,"U1,U12",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,C50506,2
LM7805S/TR,U10,TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,C507146,1
AP2112K-3.3,U3,SOT-23-5,C51118,1
1uF,"C1,C10,C13,C2,C3,C7,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,7
FUC-24F11-SNLB1,U8,USB-C-SMD_C67380,C67380,1
TC4056A,U11,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BR-EP3.3,C84051,1
MT3608,U2,SOT-23-6,C84817,1
MMBT2222A_C8512,U14,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C8512,1
INA219AIDCNR,U13,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,C87469,1
K3-1391B-51,U7,SW-TH_K3-1391B-51,C92656,1
CH224K,U9,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C970725,1
External Load out,TP6,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
3.3V out,TP5,TestPoint_Pad_1.0x1.0mm,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
5V out,TP4,TestPoint_Pad_1.0x1.0mm,,1
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
Ext load out,TP7,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
